RUN	ParabankParaSoftAccount	parabankparasoftaccount	1683100221331	test account second time	3.9.3
USER	ParabankParaSoftAccount	START	1683100224020
REQUEST		LoginRequest	1683100224010	1683100225475	OK	 
REQUEST		LoginRequest Redirect 1	1683100225488	1683100225874	OK	 
REQUEST		template.css	1683100225932	1683100226134	OK	 
REQUEST		style.css	1683100225932	1683100226336	OK	 
REQUEST		clear.gif	1683100225933	1683100226340	OK	 
REQUEST		logo.gif	1683100225933	1683100226341	OK	 
REQUEST		request_2	1683100226339	1683100226436	OK	 
REQUEST		request_3	1683100226340	1683100226441	OK	 
REQUEST		request_4	1683100226341	1683100226444	OK	 
REQUEST		header-customer.jpg	1683100225934	1683100226487	OK	 
REQUEST		request_6	1683100226442	1683100226537	OK	 
REQUEST		request_7	1683100226445	1683100226539	OK	 
REQUEST		request_5	1683100226440	1683100226553	OK	 
REQUEST		request_1	1683100226153	1683100226570	OK	 
REQUEST		request_8	1683100226488	1683100226584	OK	 
REQUEST		request_9	1683100226538	1683100226645	OK	 
REQUEST		request_10	1683100226539	1683100226648	OK	 
REQUEST		angular.min.js	1683100225933	1683100226662	OK	 
REQUEST		request_11	1683100226553	1683100226667	OK	 
REQUEST		request_12	1683100226571	1683100226671	OK	 
REQUEST		request_13	1683100226584	1683100226686	OK	 
REQUEST		request_16	1683100226648	1683100226744	OK	 
REQUEST		request_14	1683100226646	1683100226745	OK	 
REQUEST		request_17	1683100226663	1683100226758	OK	 
REQUEST		request_18	1683100226667	1683100226776	OK	 
REQUEST		GetAccountRequest	1683100226672	1683100227039	OK	 
REQUEST		request_20	1683100233049	1683100233146	OK	 
REQUEST		request_21	1683100271157	1683100271546	OK	 
REQUEST		request_38	1683100271555	1683100271654	OK	 
REQUEST		request_41	1683100271556	1683100272487	OK	 
REQUEST		CreateAccountRequest	1683100285496	1683100286418	OK	 
USER	ParabankParaSoftAccount	END	1683100286421
